Distance_(pixels),Gray_Value
1560,7.8001
1561,8.4370
1562,8.8462
1563,8.9923
1564,9.2329
1565,9.3333
1566,9.3333
1567,9.3333
1568,9.6418
1569,9.9711
1570,9.3407
1571,9.3333
1572,9.8047
1573,10.6036
1574,10.4406
1575,10.2052
1576,10.1215
1577,10.5928
1578,10.6667
1579,11.2255
1580,12.2850
1581,12.9921
1582,12.6008
1583,11.3430
1584,11.9882
1585,12.2485
1586,11.6172
1587,10.7997
1588,10.6667
1589,10.7857
1590,11.6667
1591,11.6667
1592,11.1729
1593,10.2966
1594,9.3942
1595,9.3333
1596,9.8396
1597,10.3238
1598,9.4008
1599,8.6051
1600,8.0000
1601,8.0000
1602,7.9694
1603,8.0000
1604,8.0000
1605,7.3157
1606,6.4783
1607,5.6667
1608,5.6667
1609,5.6667
1610,5.6667
1611,5.6667
1612,5.2911
1613,4.4871
1614,4.3413
1615,4.5094
1616,3.9639
1617,4.0000
1618,4.0000
1619,3.6822
1620,2.7463
1621,2.0387
1622,2.0000
1623,2.3764
1624,3.1422
1625,3.0367
1626,2.4324
1627,2.8733
1628,3.5809
1629,3.6667
1630,3.6667
1631,3.6012
1632,2.8942
1633,2.3653
1634,1.8433
1635,1.8813
1636,2.0552
1637,1.5363
1638,1.6810
1639,2.0793
1640,1.9215
1641,1.8019
1642,2.5088
1643,2.6667
1644,2.9019
1645,3.6095
1646,3.6667
1647,3.1547
1648,1.8107
1649,2.6192
1650,2.9060
1651,3.6667
1652,3.6667
1653,3.6667
1654,3.6667
1655,3.6482
1656,2.9406
1657,3.1134
1658,3.6667
1659,3.6667
1660,3.6667
1661,3.7284
1662,4.6100
1663,3.7667
1664,3.6667
1665,3.6763
1666,4.3155
1667,4.6667
1668,4.6667
1669,4.6667
1670,4.0347
1671,3.6667
1672,3.7113
1673,3.8491
1674,3.6667
1675,3.6667
1676,3.6667
1677,4.2515
1678,4.4593
1679,4.6667
